Time resolution is 1 ps
2000 phase=0 rot_cnt = 0
6000 phase=0 rot_cnt = 0
10000 phase=0 rot_cnt = 0
14000 phase=0 rot_cnt = 0
18000 phase=0 rot_cnt = 0
22000 phase=0 rot_cnt = 0
26000 phase=0 rot_cnt = 0
30000 phase=0 rot_cnt = 0
34000 phase=0 rot_cnt = 0
38000 phase=0 rot_cnt = 0
42000 phase=0 rot_cnt = 0
46000 phase=0 rot_cnt = 0
50000 phase=0 rot_cnt = 0
54000 phase=0 rot_cnt = 0
58000 phase=0 rot_cnt = 0
62000 phase=0 rot_cnt = 0
66000 phase=0 rot_cnt = 0
70000 phase=0 rot_cnt = 0
74000 phase=0 rot_cnt = 0
78000 phase=0 rot_cnt = 0
82000 phase=0 rot_cnt = 0
86000 phase=0 rot_cnt = 0
90000 phase=0 rot_cnt = 0
94000 phase=0 rot_cnt = 0
98000 phase=0 rot_cnt = 0
102000 phase=0 rot_cnt = 0
106000 phase=0 rot_cnt = 0
110000 phase=0 rot_cnt = 0
114000 phase=0 rot_cnt = 0
118000 phase=0 rot_cnt = 0
122000 phase=0 rot_cnt = 0
126000 phase=0 rot_cnt = 0
130000 phase=0 rot_cnt = 0
134000 phase=0 rot_cnt = 0
138000 phase=0 rot_cnt = 0
142000 phase=0 rot_cnt = 0
146000 phase=0 rot_cnt = 0
150000 phase=0 rot_cnt = 0
154000 phase=0 rot_cnt = 0
158000 phase=0 rot_cnt = 0
162000 phase=0 rot_cnt = 0
166000 phase=0 rot_cnt = 0
170000 phase=0 rot_cnt = 0
174000 phase=0 rot_cnt = 0
178000 phase=0 rot_cnt = 0
182000 phase=0 rot_cnt = 0
186000 phase=0 rot_cnt = 0
190000 phase=0 rot_cnt = 0
194000 phase=0 rot_cnt = 0
198000 phase=0 rot_cnt = 0
202000 phase=0 rot_cnt = 0
206000 phase=0 rot_cnt = 0
210000 phase=0 rot_cnt = 0
214000 phase=0 rot_cnt = 0
218000 phase=0 rot_cnt = 0
222000 phase=0 rot_cnt = 0
226000 phase=0 rot_cnt = 0
230000 phase=0 rot_cnt = 0
234000 phase=0 rot_cnt = 0
238000 phase=0 rot_cnt = 0
242000 phase=0 rot_cnt = 0
246000 phase=0 rot_cnt = 0
250000 phase=0 rot_cnt = 0
254000 phase=0 rot_cnt = 0
258000 phase=0 rot_cnt = 0
262000 phase=0 rot_cnt = 0
266000 phase=0 rot_cnt = 0
270000 phase=0 rot_cnt = 0
274000 phase=0 rot_cnt = 0
278000 phase=0 rot_cnt = 0
282000 phase=0 rot_cnt = 0
286000 phase=0 rot_cnt = 0
